store_code,store_name,city_name,store_latitude,store_longitude
GADA-s4Xz,E219110252-Toko NN (Gudang),KABUPATEN SUMENEP,-7.00313100,113.86318400
GADA-zfG0,V619050058-Toko Stand 8 (Gudang),KOTA MAKASSAR,-5.15071000,119.42418300
GADA-ufmj,EV1901366-Toko Purnomo (Gudang),KABUPATEN BOJONEGORO,-7.14493800,111.89025700
GADA-mr4i,CK19030144-Toko Arsy (Gudang),KABUPATEN SUMEDANG,-6.79835000,107.94409300
GADA-zPnf,50735 Toko NusaIndah (Gudang),KABUPATEN TEGAL,-6.86854800,109.17908500
GADA-lMwd,TK19040140-Toko Domang (Gudang),KOTA BALIKPAPAN,-1.24212500,116.87756100
GADA-ckaC,EV19100111-Toko Mega (Gudang),KABUPATEN BOJONEGORO,-7.14657600,111.88421900
GADA-aspo,AA19120714-Toko Yoyo (Gudang),KABUPATEN TANGERANG,-6.26213200,106.43322700
GADA-bVV4,FI19050637-Toko Ardika (Gudang),KOTA DENPASAR,-8.65481700,115.19439200
GADA-oNg4,CU19020436-Toko Dede (Gudang),KABUPATEN SUKABUMI,-6.89704000,106.77930000
GADA-n9AX,AH19050574-Toko Lancar Abadi (Gudang),KABUPATEN TANGERANG,-6.26645800,106.46817200
GADA-gRwb,AH19030052-Toko Simpang (Gudang),KOTA TANGERANG,-6.15210900,106.59114800
GADA-iPB9,TJ19116875-Toko Dam Jaya (Gudang),KOTA BALIKPAPAN,-1.27077600,116.85638500
GADA-n6PJ,Toko Papaullah (Gudang),KOTA BALIKPAPAN,-1.24209400,116.88117000
GADA-xClg,AB19051632-Toko Warlas (Gudang),KOTA TANGERANG SELATAN,-6.32825700,106.70971300
GADA-o58C,SL19020365-Toko Aziz (Gudang),KOTA BANJARMASIN,-3.31269100,114.59597700
GADA-i4rE,BE19020257-Toko Ajung (Gudang),KOTA JAKARTA UTARA,-6.12311100,106.91035800
GADA-yVNz,OE19070689-Toko Apolo (Gudang),KABUPATEN MUARO JAMBI,-1.60977200,103.52293700
GADA-kXNa,47858 Butun Indah (Gudang),KOTA MATARAM,-8.59960800,116.15219100
GADA-bFgh,KL19060083-Toko Laiho (Gudang),KOTA PALEMBANG,-3.03680300,104.77057300
GADA-pKQh,DB19030007-Toko Sella Jaya (Gudang),KABUPATEN BANYUMAS,-7.42242000,109.26131000
GADA-pmiX,MM19060260-Toko Rizki (Gudang),KOTA BANDAR LAMPUNG,-5.39502300,105.26025400
GADA-vP6B,D319020361-Toko Agung (Gudang),KABUPATEN SUKOHARJO,-7.60813800,110.79981800
GADA-mxQB,EZ19010001-Toko Anda (Gudang),KABUPATEN BANGKALAN,-7.02695000,112.75485000
GADA-zMU8,CU19040507-Toko Suka Mekar (Gudang),KABUPATEN SUKABUMI,-6.91773900,106.96422600
