buyer_code,city,province_region,regional_seller,lat,lng,is_using_gada,percentile,gmv_percentile,gmv_per_buyer
GADA-9cf1wj,KABUPATEN BANDUNG,JAWA BARAT,West,-6.98898,107.557138,False,0.9,6210000,6538500
GADA-5q7zpx,KABUPATEN LOMBOK TENGAH,BALI NUSRA,East,-8.643073,116.345607,False,0.9,3539000,4290300
GADA-opy7y2,KABUPATEN BANDUNG,JAWA BARAT,West,-6.99836,107.587955,False,0.9,6210000,9155250
GADA-w728ft,KABUPATEN MUARO JAMBI,SUMATERA,West,-1.641331,103.529179,False,0.9,4146500,4904000
GADA-ljo4rt,KOTA BANJARMASIN,KALIMANTAN,East,-3.297607,114.595327,False,0.9,3393000,3644000
GADA-n05ndp,KABUPATEN JOMBANG,JAWA TIMUR,East,-7.551324,112.294666,False,0.9,5128000,6392250
GADA-x11rhq,KOTA TANGERANG SELATAN,JABODETABEK 1,West,-6.260307,106.749747,False,0.9,7895000,21276000
GADA-3p32o0x2,KABUPATEN BANDUNG,JAWA BARAT,West,-7.031223,107.506571,False,0.9,6210000,8423750
GADA-dzprq8,KOTA LHOKSEUMAWE,SUMATERA,West,5.176611,97.147123,False,0.9,4146500,9920100
GADA-2ss4jp,KABUPATEN LAMONGAN,JAWA TIMUR,East,-7.104658,112.166135,False,0.9,5128000,5913000
GADA-u8mp9r,KOTA TANGERANG SELATAN,JABODETABEK 1,West,-6.324771,106.711973,False,0.9,7895000,15525000
GADA-kln4eerw,KOTA TANGERANG,JABODETABEK 1,West,-6.21313,106.6139,False,0.9,7895000,7908800
GADA-uhhqs1,KABUPATEN PEMALANG,JAWA TENGAH,East,-6.83479,109.49999,False,0.9,2071000,3452000
GADA-x4koeq,KABUPATEN JOMBANG,JAWA TIMUR,East,-7.570607,112.342524,False,0.9,5128000,7385000
GADA-klvm4erb,KABUPATEN SUMENEP,JAWA TIMUR,East,-7.10411,113.81205,False,0.9,5128000,5210000
GADA-oea43j,KABUPATEN BANDUNG,JAWA BARAT,West,-6.99498,107.570453,False,0.9,6210000,12347500
GADA-e373mldy,KOTA PAYAKUMBUH,SUMATERA,West,-0.26164,100.60076,False,0.9,4146500,6395500
GADA-mzvwpjwg,KOTA MEDAN,SUMATERA,West,3.71095,98.65933,False,0.9,4146500,18560000
GADA-l8jwuk,KOTA MAKASSAR,SULAWESI PAPUA,East,-5.16834,119.455818,False,0.9,4058553,14864776
GADA-e6arkq,KABUPATEN TEGAL,JAWA TENGAH,East,-6.943652,109.193695,False,0.9,2071000,2114500
GADA-l9zqqz,KOTA JAKARTA UTARA,JABODETABEK 2,West,-6.104293,106.769434,False,0.9,7966500,12399000
GADA-5fu4iu,KABUPATEN SUKABUMI,JAWA BARAT,West,-6.89678,106.946489,False,0.9,6210000,9915000
GADA-z53wv3za,KABUPATEN JEPARA,JAWA TENGAH,East,-6.52696,110.70949,False,0.9,2071000,2319000
GADA-x0b321,KOTA PALU,SULAWESI PAPUA,East,-0.906346,119.849687,False,0.9,4058553,5900000
GADA-eyfhnq,KOTA TANGERANG SELATAN,JABODETABEK 1,West,-6.27767,106.669282,False,0.9,7895000,10595000
GADA-tqrqx4,KOTA TANGERANG SELATAN,JABODETABEK 1,West,-6.33358,106.70844,False,0.9,7895000,8034190
GADA-26vroyvg,KABUPATEN SUMBA TIMUR,BALI NUSRA,East,-9.62869,120.42746,False,0.9,3539000,5161000
GADA-u8ztd3,KABUPATEN SIDOARJO,JAWA TIMUR,East,-7.423117,112.737985,False,0.9,5128000,7031650
GADA-u8zv9h,KABUPATEN BANYUMAS,JAWA TENGAH,East,-7.377558,109.204965,False,0.9,2071000,2242500
GADA-86ypeg,KABUPATEN LAMONGAN,JAWA TIMUR,East,-7.104673,112.166143,False,0.9,5128000,9039000
