buyer_code,city,province,buyer_lat,buyer_long,is_using_gada,percentile,gmv_percentile,gmv_per_buyer
GADA-01l1gxgy,KABUPATEN GARUT,JAWA BARAT,-7.17582000,107.92773000,False,0.9,117064518,156790000
GADA-01l5vlj2,KABUPATEN GARUT,JAWA BARAT,-7.22027000,107.90252000,False,0.9,117064518,132850000
GADA-01lbj2ro,KOTA MEDAN,SUMATERA UTARA,3.57250000,98.69384000,False,0.9,86472000,273520000
GADA-01lbmm6p,KOTA JAKARTA PUSAT,DKI JAKARTA,-6.19278000,106.85427000,False,0.9,99528000,142240000
GADA-01lddmrv,KOTA BANDA ACEH,NANGGROE ACEH DARUSSALAM,5.55105000,95.32173000,False,0.9,206460000,224970918
GADA-01ll5yk3,KABUPATEN GARUT,JAWA BARAT,-7.03917000,107.97450000,False,0.9,117064518,149835000
GADA-01lva5do,KOTA BANDA ACEH,NANGGROE ACEH DARUSSALAM,5.54601000,95.32117000,False,0.9,206460000,427414520
GADA-01lxjy9p,KABUPATEN PANDEGLANG,BANTEN,-6.32493000,106.09160000,False,0.9,10981000,497000000
GADA-01lzlodj,KOTA BANDA ACEH,NANGGROE ACEH DARUSSALAM,5.54626000,95.32237000,False,0.9,206460000,313961200
GADA-01o4053y,KOTA TERNATE,MALUKU UTARA,0.79638500,127.38457700,False,0.9,2765000,4240000
GADA-01ogqgjj,KOTA BUKITTINGGI,SUMATERA BARAT,-0.28860000,100.36463000,False,0.9,40210000,638519560
GADA-01vdy7op,KABUPATEN TUBAN,JAWA TIMUR,-7.71781000,112.71782000,False,0.9,10663000,13200000
GADA-01vgyvav,KABUPATEN GARUT,JAWA BARAT,-7.21186000,107.90891000,False,0.9,117064518,123270120
GADA-01vj3rmj,KABUPATEN PURBALINGGA,JAWA TENGAH,-7.30722000,109.36833000,False,0.9,1180690,9570000
GADA-01vvewko,KABUPATEN LEBAK,BANTEN,-6.46002000,106.21728000,False,0.9,10981000,10993000
GADA-01vx92k3,KABUPATEN SERANG,BANTEN,-6.06151000,106.11224000,False,0.9,10981000,172100000
GADA-01x4k14v,KOTA BENGKULU,BENGKULU,-3.75912000,102.30246000,False,0.9,83232000,2629980000
GADA-01x4lnap,KABUPATEN PANDEGLANG,BANTEN,-6.31758000,106.09454000,False,0.9,10981000,436790000
GADA-01x64exo,KABUPATEN PADANG LAWAS UTARA,SUMATERA UTARA,1.50302000,99.62330000,False,0.9,86472000,112480000
GADA-01xakvxy,KABUPATEN GARUT,JAWA BARAT,-7.22341000,107.91920000,False,0.9,117064518,161219550
GADA-01xarlzl,KABUPATEN GARUT,JAWA BARAT,-7.20202000,107.90585000,False,0.9,117064518,171600350
GADA-01xdpdzj,KABUPATEN PEMALANG,JAWA TENGAH,-6.89310000,109.45702000,False,0.9,1180690,314695000
GADA-01xedogv,KOTA PEMATANG SIANTAR,SUMATERA UTARA,2.98397000,99.06933000,False,0.9,86472000,90310000
GADA-01xgdza5,KABUPATEN PURBALINGGA,JAWA TENGAH,-7.35006000,109.32055000,False,0.9,1180690,147274000
GADA-01xmedgy,KABUPATEN BANYU ASIN,SUMATERA SELATAN,-2.90278000,104.76010000,False,0.9,21080000,48620000
GADA-01xwawap,KABUPATEN INDRAGIRI HILIR,RIAU,-0.32762000,103.14197000,False,0.9,121765000,182066000
GADA-01xwllpo,KOTA TASIKMALAYA,JAWA BARAT,-7.39031000,108.19592000,False,0.9,117064518,149420000
GADA-01xwlw3v,KABUPATEN PESISIR SELATAN,SUMATERA BARAT,-1.30683000,100.54379000,False,0.9,40210000,40599000
GADA-01xwnlkl,KOTA TASIKMALAYA,JAWA BARAT,-7.33396000,108.21969000,False,0.9,117064518,150032250
