buyer_code,city,province,buyer_lat,buyer_long,is_using_gada,percentile,gmv_percentile,gmv_per_buyer
GADA-lf229w,KABUPATEN GROBOGAN,JAWA TENGAH,-7.07382200,110.77889400,False,0.9,799000,422970300
GADA-ly9kru,KABUPATEN DEMAK,JAWA TENGAH,-7.04444600,110.57610800,False,0.9,799000,352933000
GADA-lc45c6,KABUPATEN PATI,JAWA TENGAH,-6.75234700,111.04171100,False,0.9,799000,304541000
GADA-lk2e5g,KABUPATEN TANGERANG,BANTEN,-6.19839900,106.53067000,False,0.9,9995000,215008500
GADA-x3yuqx,KOTA TANGERANG SELATAN,BANTEN,-6.27917300,106.67112900,False,0.9,9995000,213197800
GADA-juxi8y,KABUPATEN TANGERANG,BANTEN,-6.19165900,106.50335000,False,0.9,9995000,199689000
GADA-l3qex8,KABUPATEN TANGERANG,BANTEN,-6.19186800,106.49162200,False,0.9,9995000,196088240
GADA-9qx9ls,KABUPATEN TANGERANG,BANTEN,-6.15682400,106.56821600,False,0.9,9995000,194501000
GADA-dvFo,KOTA SEMARANG,JAWA TENGAH,-7.05139600,110.32678600,False,0.9,799000,190266200
GADA-gRwb,KOTA TANGERANG,BANTEN,-6.15210900,106.59114800,False,0.9,9995000,188910000
GADA-aspo,KABUPATEN TANGERANG,BANTEN,-6.26213200,106.43322700,False,0.9,9995000,185107000
GADA-rdnG,KABUPATEN TANGERANG,BANTEN,-6.29514700,106.41776800,False,0.9,9995000,185107000
GADA-8h4jvb,KABUPATEN DEMAK,JAWA TENGAH,-6.92729100,110.55093500,False,0.9,799000,165372000
GADA-l6c5ut,KABUPATEN DEMAK,JAWA TENGAH,-7.02865600,110.53066800,False,0.9,799000,152702300
GADA-n0v4zy,KOTA BALIKPAPAN,KALIMANTAN TIMUR,-1.24630100,116.88645700,False,0.9,1460000,146448000
GADA-l8e4cx,KABUPATEN KUDUS,JAWA TENGAH,-6.76496800,110.83988400,False,0.9,799000,143642500
GADA-dPY0,KABUPATEN KENDAL,JAWA TENGAH,-6.92714700,110.15753700,False,0.9,799000,137592500
GADA-2pbfdj,KABUPATEN PANDEGLANG,BANTEN,-6.32439900,106.11499000,False,0.9,9995000,127147000
GADA-xao1w8,KABUPATEN KOLAKA,SULAWESI TENGGARA,-4.09896000,121.66096200,False,0.9,1948000,120404900
GADA-hsrc2c,KOTA BALIKPAPAN,KALIMANTAN TIMUR,-1.26888400,116.84470400,False,0.9,1460000,119232000
GADA-x11yoe,KOTA JAKARTA PUSAT,DKI JAKARTA,-6.16331000,106.86292900,False,0.9,14412000,109925500
GADA-9r96rv,KOTA SEMARANG,JAWA TENGAH,-7.09287600,110.32119300,False,0.9,799000,106970000
GADA-n3v0k9,KOTA SURAKARTA,JAWA TENGAH,-7.54331900,110.84233200,False,0.9,799000,104822750
GADA-l8j0tu,KABUPATEN JEPARA,JAWA TENGAH,-6.59886300,110.66528000,False,0.9,799000,102823000
GADA-xsf7l6,KABUPATEN LAMPUNG SELATAN,LAMPUNG,-5.29182400,105.19288800,False,0.9,6878000,100700000
GADA-u51q00,KOTA PALEMBANG,SUMATERA SELATAN,-2.92060500,104.79636300,False,0.9,9685200,100312300
GADA-nr0vkd9m,KABUPATEN PEMALANG,JAWA TENGAH,-6.89313000,109.45694000,False,0.9,799000,100178416
GADA-u5jorc,KABUPATEN PEMALANG,JAWA TENGAH,-6.88851000,109.38348000,False,0.9,799000,100079536
GADA-czcfq0,KABUPATEN TEGAL,JAWA TENGAH,-6.95865400,109.15300100,False,0.9,799000,97608000
GADA-x0g9ul,KABUPATEN TEGAL,JAWA TENGAH,-6.89730900,109.12706100,False,0.9,799000,94000000
GADA-nwtx4i,KOTA TEGAL,JAWA TENGAH,-6.87701800,109.13078200,False,0.9,799000,94000000
GADA-21gong,KOTA TEGAL,JAWA TENGAH,-6.87684100,109.13238600,False,0.9,799000,93000000
GADA-r1nak0ox,KABUPATEN BREBES,JAWA TENGAH,-6.97569000,108.97685000,False,0.9,799000,93000000
GADA-n3rt9o,KOTA SURAKARTA,JAWA TENGAH,-7.56853700,110.83739600,False,0.9,799000,92842000
GADA-nwlnrr,KABUPATEN WONOGIRI,JAWA TENGAH,-8.05314800,110.80951300,False,0.9,799000,92336000
GADA-klg2vxlw,KOTA SURAKARTA,JAWA TENGAH,-7.56315000,110.83826000,False,0.9,799000,91575500
GADA-dtkxrhx1,KOTA TANGERANG SELATAN,BANTEN,-6.30230200,106.68857400,False,0.9,9995000,87248000
GADA-n1az6r,KOTA SURAKARTA,JAWA TENGAH,-7.55344800,110.82261400,False,0.9,799000,86893500
GADA-n1gj70,KABUPATEN SRAGEN,JAWA TENGAH,-7.52029200,111.01325400,False,0.9,799000,81305000
GADA-58fl2gx1,KOTA MATARAM,NUSA TENGGARA BARAT,-8.59582500,116.13756600,False,0.9,2929450,80858000
GADA-13ud1z,KABUPATEN KUDUS,JAWA TENGAH,-6.67964600,110.89651800,False,0.9,799000,76950000
GADA-qlnjroj3,KABUPATEN SUMEDANG,JAWA BARAT,-6.87527000,108.03573000,False,0.9,12879000,76287000
GADA-aarmmmew,KABUPATEN KARAWANG,JAWA BARAT,-6.38104000,107.37393000,False,0.9,12879000,76105240
GADA-xknti8x1,KOTA BANJARMASIN,KALIMANTAN SELATAN,-3.33147700,114.61024700,False,0.9,2052500,75987000
GADA-55nlgv,KABUPATEN KOLAKA TIMUR,SULAWESI TENGGARA,-3.96289800,121.70814500,False,0.9,1948000,74410025
GADA-nycf65,KABUPATEN SUMEDANG,JAWA BARAT,-6.78189600,107.92885200,False,0.9,12879000,74302100
GADA-xiil99,KOTA JAKARTA UTARA,DKI JAKARTA,-6.15600000,106.86495100,False,0.9,14412000,72977500
GADA-ls5zip,KABUPATEN KOLAKA,SULAWESI TENGGARA,-4.51636300,121.53129100,False,0.9,1948000,72645200
GADA-lzpn,KOTA PONTIANAK,KALIMANTAN BARAT,-0.03228700,109.33685800,False,0.9,19020000,66950884
GADA-xu54zux1,KOTA MATARAM,NUSA TENGGARA BARAT,-8.59618100,116.13649900,False,0.9,2929450,66072000
GADA-8hrmpr,KABUPATEN KARANGANYAR,JAWA TENGAH,-7.64535100,110.99723400,False,0.9,799000,63332000
GADA-ez342a,KOTA BATAM,KEPULAUAN RIAU,1.04080200,103.98304400,False,0.9,11550000,61849605
GADA-zaym9f,KOTA JAKARTA TIMUR,DKI JAKARTA,-6.26705400,106.86550600,False,0.9,14412000,61230000
GADA-zxraabvv,KABUPATEN SUMEDANG,JAWA BARAT,-6.81163000,107.95079000,False,0.9,12879000,60625000
GADA-yharvy,KOTA BEKASI,JAWA BARAT,-6.20208600,107.02598600,False,0.9,12879000,59595000
GADA-yyld8h,KOTA BEKASI,JAWA BARAT,-6.22375900,107.01916000,False,0.9,12879000,59595000
GADA-egu9y5,KOTA BANJARMASIN,KALIMANTAN SELATAN,-3.34019700,114.61276900,False,0.9,2052500,59454100
GADA-8hcyb8,KOTA PONTIANAK,KALIMANTAN BARAT,-0.05032500,109.30360500,False,0.9,19020000,58768710
GADA-p6g626,KOTA PONTIANAK,KALIMANTAN BARAT,-0.04884100,109.34862900,False,0.9,19020000,58747689
GADA-xkjxh6,KOTA BANJARMASIN,KALIMANTAN SELATAN,-3.33143300,114.58131300,False,0.9,2052500,58224600
GADA-qben0xaq,KOTA PALEMBANG,SUMATERA SELATAN,-2.92576000,104.78543000,False,0.9,9685200,58128600
GADA-zzsbzz,KOTA JAKARTA TIMUR,DKI JAKARTA,-6.28904600,106.86519000,False,0.9,14412000,57730000
GADA-j6jqydv3,KOTA TANGERANG SELATAN,BANTEN,-6.35652000,106.71263000,False,0.9,9995000,57670000
GADA-hkvme1,KABUPATEN KUDUS,JAWA TENGAH,-6.82712700,110.91446400,False,0.9,799000,57305000
GADA-xoqwzk,KOTA TANGERANG SELATAN,BANTEN,-6.34123600,106.70008700,False,0.9,9995000,55025000
GADA-nafzcg,KABUPATEN SRAGEN,JAWA TENGAH,-7.39807100,110.82760400,False,0.9,799000,54530000
GADA-ce7e5z,KOTA PEKANBARU,RIAU,0.53735000,101.43486000,False,0.9,9720000,53600000
GADA-x4rmu3,KABUPATEN LAMPUNG SELATAN,LAMPUNG,-5.32746200,105.19680200,False,0.9,6878000,53130000
GADA-lwlfadx1,KOTA MATARAM,NUSA TENGGARA BARAT,-8.59691800,116.15772100,False,0.9,2929450,52964000
GADA-lzzff6,KABUPATEN KOLAKA,SULAWESI TENGGARA,-3.99220500,121.40481800,False,0.9,1948000,52566800
GADA-xirs87,KABUPATEN BANJAR,KALIMANTAN SELATAN,-3.31612200,114.63217700,False,0.9,2052500,52113000
GADA-o18qdz,KOTA JAKARTA TIMUR,DKI JAKARTA,-6.29087500,106.87224600,False,0.9,14412000,51660000
GADA-wp9jfh,KABUPATEN MAGETAN,JAWA TIMUR,-7.69582700,111.26746600,False,0.9,4716500,51284870
GADA-wozyn9,KOTA JAKARTA TIMUR,DKI JAKARTA,-6.28256800,106.86196000,False,0.9,14412000,51020000
GADA-m2kl13,KABUPATEN OGAN KOMERING ULU TIMUR,SUMATERA SELATAN,-3.94188300,104.43663000,False,0.9,9685200,50923003
GADA-we5djv,KOTA JAKARTA TIMUR,DKI JAKARTA,-6.27311000,106.85572400,False,0.9,14412000,50320000
GADA-yv0dhn,KOTA BEKASI,JAWA BARAT,-6.22983900,107.02247700,False,0.9,12879000,49850000
GADA-jdr350,KABUPATEN LAMPUNG SELATAN,LAMPUNG,-5.31026000,105.20266300,False,0.9,6878000,49800000
GADA-yyndfh,KOTA BEKASI,JAWA BARAT,-6.22228900,107.01652900,False,0.9,12879000,49785000
GADA-yvzyli,KOTA BEKASI,JAWA BARAT,-6.21107400,107.01819600,False,0.9,12879000,49755000
GADA-yh0tbh,KOTA BEKASI,JAWA BARAT,-6.20505300,107.02746400,False,0.9,12879000,49730000
GADA-yvw2cq,KOTA BEKASI,JAWA BARAT,-6.22962500,107.02042100,False,0.9,12879000,49650000
GADA-l71klf,KABUPATEN LAMPUNG SELATAN,LAMPUNG,-5.31119200,105.21563300,False,0.9,6878000,49647000
GADA-l48h91,KABUPATEN MEMPAWAH,KALIMANTAN BARAT,0.36424200,108.96335400,False,0.9,19020000,49618569
GADA-71b69w,KABUPATEN MAGETAN,JAWA TIMUR,-7.69822000,111.25997900,False,0.9,4716500,49594870
GADA-yvgymz,KOTA BEKASI,JAWA BARAT,-6.22774700,107.02012600,False,0.9,12879000,49560000
GADA-ymhh5z,KOTA BEKASI,JAWA BARAT,-6.21577300,107.02628500,False,0.9,12879000,49535000
GADA-wdojr9,KOTA BEKASI,JAWA BARAT,-6.35456200,106.92055000,False,0.9,12879000,49470000
GADA-wd3ut3,KABUPATEN MAGETAN,JAWA TIMUR,-7.68821300,111.29454200,False,0.9,4716500,49270000
GADA-8h7s2f,KOTA PONTIANAK,KALIMANTAN BARAT,-0.04441900,109.37200800,False,0.9,19020000,49124075
GADA-wghg3z,KOTA TANJUNG PINANG,KEPULAUAN RIAU,0.91822100,104.50453100,False,0.9,11550000,49076000
GADA-5edthi,KABUPATEN WONOGIRI,JAWA TENGAH,-7.75569800,110.88131400,False,0.9,799000,48995000
GADA-8h737p,KOTA PONTIANAK,KALIMANTAN BARAT,-0.02542400,109.36882800,False,0.9,19020000,48695647
GADA-4v0za2,KOTA BATAM,KEPULAUAN RIAU,1.10233800,104.07408700,False,0.9,11550000,48515000
GADA-rC99x1,KABUPATEN NGAWI,JAWA TIMUR,-7.40765500,111.22786600,False,0.9,4716500,48422500
GADA-2pszn9,KOTA TANGERANG SELATAN,BANTEN,-6.35604500,106.69571500,False,0.9,9995000,48365500
GADA-oq30hm,KOTA JAKARTA TIMUR,DKI JAKARTA,-6.28583900,106.87377700,False,0.9,14412000,48360000
GADA-eyia6l,KABUPATEN SUMEDANG,JAWA BARAT,-6.82772100,107.93544800,False,0.9,12879000,48346228
GADA-ajea84,KOTA PONTIANAK,KALIMANTAN BARAT,-0.05865100,109.37728200,False,0.9,19020000,48244196
GADA-ekhubs,KOTA PONTIANAK,KALIMANTAN BARAT,-0.02990000,109.30325100,False,0.9,19020000,48073025
GADA-xeygpz9r,KOTA BEKASI,JAWA BARAT,-6.29115000,106.99473000,False,0.9,12879000,47850000
GADA-nk8q71,KOTA SURAKARTA,JAWA TENGAH,-7.58389700,110.82045400,False,0.9,799000,47796000
GADA-xodz02,KABUPATEN PEMALANG,JAWA TENGAH,-6.83686000,109.49735000,False,0.9,799000,47767950
GADA-emzzip,KOTA SURAKARTA,JAWA TENGAH,-7.57161400,110.84098400,False,0.9,799000,47661500
GADA-l9lqcv,KABUPATEN SUMEDANG,JAWA BARAT,-6.86833600,107.90242100,False,0.9,12879000,47617800
GADA-3gxoxw,KOTA JAKARTA TIMUR,DKI JAKARTA,-6.29101000,106.87579500,False,0.9,14412000,47560000
GADA-nm0vnd,KOTA JAKARTA TIMUR,DKI JAKARTA,-6.28584500,106.86518100,False,0.9,14412000,47260000
GADA-5mvbxq7n,KABUPATEN SUMEDANG,JAWA BARAT,-6.75485000,107.89727000,False,0.9,12879000,47043000
GADA-pxwmerj4,KOTA BEKASI,JAWA BARAT,-6.17621000,107.00285000,False,0.9,12879000,46925000
GADA-9uotrb,KOTA BATAM,KEPULAUAN RIAU,1.05385900,103.97503100,False,0.9,11550000,46720000
GADA-um729e,KABUPATEN CIAMIS,JAWA BARAT,-7.21088700,108.46618200,False,0.9,12879000,46602000
GADA-21sw5p,KOTA TANGERANG SELATAN,BANTEN,-6.24571800,106.65345900,False,0.9,9995000,46542000
GADA-1144i2,KABUPATEN LAMONGAN,JAWA TIMUR,-7.11684000,112.18836000,False,0.9,4716500,46028500
GADA-wtuy1l,KOTA JAKARTA TIMUR,DKI JAKARTA,-6.29527900,106.86533200,False,0.9,14412000,45720000
GADA-4ln2o1,KOTA BATAM,KEPULAUAN RIAU,1.12929900,104.09555900,False,0.9,11550000,45578000
GADA-ntb40f,KOTA JAKARTA TIMUR,DKI JAKARTA,-6.29241400,106.87521700,False,0.9,14412000,45160000
GADA-naiii0,KABUPATEN SUKOHARJO,JAWA TENGAH,-7.60998000,110.87262000,False,0.9,799000,45066000
GADA-ogibcu,KOTA JAKARTA TIMUR,DKI JAKARTA,-6.20725400,106.87704600,False,0.9,14412000,45060000
GADA-sHInx1,KABUPATEN BOYOLALI,JAWA TENGAH,-7.53463200,110.68712700,False,0.9,799000,44860000
GADA-r7uN,KOTA JAKARTA UTARA,DKI JAKARTA,-6.15540600,106.89266300,False,0.9,14412000,44794668
