buyer_unique_id,product_unit_id,product,uom,unit_price,total_gmv,count_order
GADA-01ly1nwp,2251,Sampoerna A-Mild 16,Slop,221998.00,665994.00,1
GADA-01ly1nwp,3978,Sampoerna A Filter 12,Slop,132500.00,265000.00,1
GADA-01ly1nwp,4528,NAXAN Mild Menthol 20,Slop,111100.00,333300.00,1
GADA-01ly1nwp,30720,Redbold 20,Slop,169680.00,509040.00,1
GADA-01ly1nwp,35614,Gudang Garam Surya 16,Slop,222301.00,666903.00,1
GADA-01vlqv2v,1963,Djarum Coklat 12,Slop,128389.00,4236837.00,1
GADA-01vlqv2v,2251,Sampoerna A-Mild 16,Slop,229730.00,5743250.00,1
GADA-01vlqv2v,2255,Gudang Garam Filter International 12,Slop,334835.00,6696700.00,1
GADA-01vlqv2v,35617,Gudang Garam Signature 12,Slop,155400.00,9945600.00,1
GADA-01vlqv2v,35620,Dji Sam Soe 12,Slop,158700.00,6665400.00,1
GADA-01zg1jwv,31063,Dji Sam Soe Magnum 16,Slop,188000.00,2820000.00,1
GADA-01zr6q3v,2251,Sampoerna A-Mild 16,Slop,229730.00,459460.00,1
GADA-01zr6q3v,35624,Djarum Super 12,Slop,167368.00,167368.00,1
GADA-01zr6q3v,35646,Dji Sam Soe Magnum 12,Slop,162162.00,1135134.00,3
GADA-08o,2259,Sampoerna A Mild 12,Slop,160000.00,160000.00,1
GADA-08o,14281,Chief 12,Slop,109000.00,109000.00,1
GADA-08o,17261,Toppas Filter 12,Slop,113000.00,3390000.00,1
GADA-08o,17262,Toppas Filter 16,Slop,148000.00,6364000.00,1
GADA-08o,35614,Gudang Garam Surya 16,Slop,221000.00,2210000.00,1
GADA-08o,35618,Class Mild 16,Slop,218500.00,218500.00,1
GADA-08o,35698,Gudang Garam Surya 12 Kaleng,Slop,1320000.00,2640000.00,1
GADA-1144i2,2086,Gudang Garam Surya 12,Slop,164250.00,31536000.00,4
GADA-1144i2,2251,Sampoerna A-Mild 16,Slop,230250.00,11517500.00,2
GADA-1144i2,4535,Grendel Rokok Filter 12,Slop,110500.00,1105000.00,1
GADA-1144i2,13839,Gudang Garam Surya Pro Merah 16,Slop,187000.00,1870000.00,1
GADA-1cgtmx,2086,Gudang Garam Surya 12,Slop,163000.00,10303000.00,4
GADA-1cgtmx,35614,Gudang Garam Surya 16,Slop,231000.00,12705000.00,4
GADA-1y3ep6dz,1966,Minak Djinggo Kretek 10,Slop,100000.00,4200000.00,4
GADA-1yb5jerl,1963,Djarum Coklat 12,Slop,128600.00,514400.00,1
GADA-1yb5jerl,2279,Djarum Super MLD 16,Slop,187688.00,187688.00,1
GADA-1yb5jerl,28315,Djarum Mld 20,Slop,244744.00,244744.00,1
GADA-1yb5jerl,35595,Dji Sam Soe Magnum Mild 16,Slop,193193.00,386386.00,1
GADA-1yb5jerl,42351,Raven Filter 16,Slop,124624.00,124624.00,1
GADA-1yb5jerl,50463,Gudang Garam Filter 12,Slop,335335.00,335335.00,1
GADA-1yb64kee,2218,Dunhill Putih Fine Cut Mild 20,Slop,272000.00,272000.00,1
GADA-1yb64kee,16494,Dunhill Putih Mild 20,Slop,286000.00,572000.00,2
GADA-1yby9e6x,1966,Minak Djinggo Kretek 10,Slop,100000.00,5100000.00,4
GADA-1ylloykl,2251,Sampoerna A-Mild 16,Slop,229730.00,5743250.00,1
GADA-1ylloykl,2255,Gudang Garam Filter International 12,Slop,334835.00,6027030.00,1
GADA-1ylloykl,2259,Sampoerna A Mild 12,Slop,159700.00,9901400.00,1
GADA-1ylloykl,35620,Dji Sam Soe 12,Slop,158700.00,5554500.00,1
GADA-20i5uj,2251,Sampoerna A-Mild 16,Slop,230750.00,12691250.00,2
GADA-20i5uj,2259,Sampoerna A Mild 12,Slop,160000.00,2400000.00,1
GADA-20i5uj,31063,Dji Sam Soe Magnum 16,Slop,181500.00,19057500.00,3
GADA-20i5uj,35695,Envio Filter 12,Slop,75000.00,3375000.00,2
GADA-211rfb,2259,Sampoerna A Mild 12,Slop,165000.00,6600000.00,1
GADA-21gj2w,2273,Djarum Super MLD 20,Slop,249000.00,9711000.00,1
GADA-21gj2w,13393,Avolution Red 20,Slop,280280.00,19619600.00,2
GADA-21gj2w,28315,Djarum Mld 20,Slop,245245.00,9319310.00,1
GADA-21gpvv,1968,Sampoerna A Mild 16 Menthol,Slop,225225.00,6306300.00,1
GADA-21gpvv,2646,A Volution Mild 20s Menthol,Slop,276276.00,9669660.00,1
GADA-21gpvv,13392,Avolution Menthol 20,Slop,280280.00,9809800.00,1
GADA-21gpvv,35614,Gudang Garam Surya 16,Slop,225000.00,9900000.00,1
GADA-21sw5p,1951,Marlboro Filter Black 12,Slop,161500.00,323000.00,2
GADA-21sw5p,1952,Marlboro Filter Black 20,Slop,278000.00,556000.00,2
GADA-21sw5p,1959,Dji Sam Soe 16,Slop,216000.00,432000.00,1
GADA-21sw5p,1961,Marlboro Light 20,Slop,278000.00,278000.00,1
GADA-21sw5p,1963,Djarum Coklat 12,Slop,129500.00,1295000.00,6
GADA-21sw5p,1967,Marlboro Merah 20,Slop,278000.00,556000.00,2
GADA-21sw5p,2086,Gudang Garam Surya 12,Slop,165000.00,660000.00,4
GADA-21sw5p,2251,Sampoerna A-Mild 16,Slop,231000.00,3929500.00,5
GADA-21sw5p,2255,Gudang Garam Filter International 12,Slop,336500.00,5720500.00,8
GADA-21sw5p,2263,Marlboro Ice Burst 20,Slop,278000.00,556000.00,2
GADA-21sw5p,2273,Djarum Super MLD 20,Slop,246500.00,246500.00,1
GADA-21sw5p,2489,Neslite Menthol 16,Slop,145500.00,438500.00,3
GADA-21sw5p,2714,Dji Sam Soe Magnum Filter 16,Slop,164000.00,984000.00,5
GADA-21sw5p,3379,Esse Change Juicy 20,Slop,252000.00,1008000.00,3
GADA-21sw5p,3858,Aroma Bold 12,Slop,110000.00,880000.00,3
GADA-21sw5p,12035,NESLITE BLACK16 (10PAKx10BKS),Slop,145500.00,438500.00,3
GADA-21sw5p,13782,Divo,Slop,82000.00,164000.00,1
GADA-21sw5p,13839,Gudang Garam Surya Pro Merah 16,Slop,190000.00,3107500.00,9
GADA-21sw5p,16761,Gudang Garam Surya Pro Mild 16,Slop,190000.00,2712500.00,7
GADA-21sw5p,17253,Neslite putih 16,Slop,145500.00,438500.00,3
GADA-21sw5p,24143,Djarum Mld Black Series 16,Slop,246500.00,246500.00,1
GADA-21sw5p,35588,LA Bold 20,Slop,237500.00,1662500.00,6
GADA-21sw5p,35595,Dji Sam Soe Magnum Mild 16,Slop,191000.00,1350500.00,4
GADA-21sw5p,35614,Gudang Garam Surya 16,Slop,222000.00,1998000.00,5
GADA-21sw5p,35617,Gudang Garam Signature 12,Slop,155500.00,1088500.00,5
GADA-21sw5p,35624,Djarum Super 12,Slop,168500.00,4212500.00,7
GADA-21sw5p,35670,Bull 20,Slop,177000.00,354000.00,1
GADA-21sw5p,36533,Clas Mild Silver 16,Slop,217500.00,652500.00,3
GADA-25etr8,1959,Dji Sam Soe 16,Slop,214340.00,643020.00,1
GADA-25etr8,2458,Dji Sam Soe Magnum Mild 50,Slop,176000.00,352000.00,1
GADA-25etr8,16492,Dunhill Hitam Filter 16,Slop,183000.00,1098000.00,2
GADA-2619by4k,35698,Gudang Garam Surya 12 Kaleng,Slop,661000.00,1322000.00,2
GADA-263kdrjm,2633,Envio Mild 16,Slop,157657.00,157657.00,1
GADA-263kdrjm,4739,Gudang Garam Merah 10,Slop,121121.00,121121.00,1
GADA-263mvndy,28284,Rexo Bold 20,Slop,162162.00,1297296.00,3
GADA-26vd2vey,2083,LA Bold 12,Slop,155000.00,3100000.00,1
GADA-26vd2vey,2442,Esse Berry Pop 16,Slop,215000.00,2150000.00,1
GADA-26vd2vey,13789,Dji Sam Soe Magnum Filter 12,Slop,164000.00,3280000.00,1
GADA-26vd2vey,16492,Dunhill Hitam Filter 16,Slop,224000.00,2240000.00,1
GADA-26vd2vey,35614,Gudang Garam Surya 16,Slop,221000.00,5525000.00,1
GADA-26vqqmly,35617,Gudang Garam Signature 12,Slop,155000.00,2325000.00,2
